Timestamp,Model ID,Trainable Parameters,Receptive Field,Mean FRF Error,Training Time (s)
2025-05-22 14:33:59,_484_11_ResNet1,2044,61,0.008774577095792475,5262.078125
2025-05-22 15:00:12,_484_13_ResNet1,2380,73,0.005988079089210252,5506.828125
2025-05-22 15:23:23,_4684_5_ResNet1,1510,33,0.0070159758016483794,4625.84375
2025-05-22 15:55:46,_4684_7_ResNet1,1998,49,0.011051370780023202,6877.078125
2025-05-22 16:23:24,_4684_9_ResNet1,2486,65,0.006516836400608105,6248.375
2025-05-22 16:50:21,_4684_11_ResNet1,2974,81,0.006726416299592196,6130.328125
2025-05-22 17:27:09,_4684_13_ResNet1,3462,97,0.006486374545368189,8081.9375
2025-05-22 18:07:00,_46864_5_ResNet1,1984,41,0.013423223446045386,8758.984375
2025-05-22 18:34:17,_46864_7_ResNet1,2624,61,0.005510200514681701,5839.84375
2025-05-22 19:23:24,_46864_9_ResNet1,3264,81,0.0050370565131415326,10466.5625
2025-05-22 20:00:17,_46864_11_ResNet1,3904,101,0.004996626529537815,7875.984375
2025-05-22 20:56:51,_46864_13_ResNet1,4544,121,0.004488273262466441,11470.3125
2025-05-22 21:16:47,_481284_5_ResNet1,3408,41,0.004653782546824087,4442.484375
2025-05-22 21:42:20,_481284_7_ResNet1,4544,61,0.006458019760611326,5753.96875
2025-05-22 22:10:15,_481284_9_ResNet1,5680,81,0.00507505949321748,6304.078125
2025-05-22 22:26:38,_481284_11_ResNet1,6816,101,0.004978776590362793,3450.703125
2025-05-22 23:04:54,_481284_13_ResNet1,7952,121,0.0046220909545502354,8193.703125
2025-05-22 23:48:21,_4668664_5_ResNet1,2776,57,0.008633738003607614,9239.140625
2025-05-23 00:27:35,_4668664_7_ResNet1,3704,85,0.008382363831002002,8192.453125
2025-05-23 00:48:40,_4668664_9_ResNet1,4632,113,0.006246108388595732,4388.546875
2025-05-23 01:15:06,_4668664_11_ResNet1,5560,141,0.004158402343379707,5991.703125
2025-05-23 02:05:01,_4668664_13_ResNet1,6488,169,0.0030295516117625015,11598.546875
2025-05-23 02:38:23,_46688664_5_ResNet1,3464,65,0.005784667051563959,7737.96875
2025-05-23 03:05:20,_46688664_7_ResNet1,4648,97,0.004291563612319215,6158.015625
2025-05-23 03:35:45,_46688664_9_ResNet1,5832,129,0.004356933579758272,6986.484375
2025-05-23 04:11:07,_46688664_11_ResNet1,7016,161,0.005104002043272841,8163.4375
2025-05-23 04:47:46,_46688664_13_ResNet1,8200,193,0.003937805725231476,8428.0625
2025-05-23 11:21:30,_466881288664_9_ResNet1,11004,177,0.002779148862831694,24571.65625
2025-05-23 13:13:33,_466881288664_11_ResNet1,13244,221,0.002588865057615771,26168.265625
2025-05-23 14:51:01,_466881288664_13_ResNet1,15484,265,0.00339442424854909,22761.296875
2025-05-23 15:51:03,_4466688866644_9_ResNet1,9024,209,0.0034569770911516942,13912.59375
2025-05-23 17:31:03,_4466688866644_11_ResNet1,10880,261,0.002731303394710154,23418.4375
2025-05-23 20:05:19,_4466688866644_13_ResNet1,12736,313,0.002554878486022058,35213.90625
2025-05-23 21:04:16,_4446668888666444_9_RegressionModel1,5244,129,0.00514101024944647,10075.421875
2025-05-23 21:55:40,_4446668888666444_11_RegressionModel1,6348,161,0.004323975052383114,11994.171875
2025-05-23 22:54:57,_4446668888666444_13_RegressionModel1,7452,193,0.004345560016335241,13880.296875
2025-05-24 00:07:49,_44466688101088666444_9_RegressionModel1,7068,145,0.004479466044214319,17056.78125
2025-05-24 00:57:11,_44466688101088666444_11_RegressionModel1,8564,181,0.005380516258586079,11468.828125
2025-05-24 02:39:28,_44466688101088666444_13_RegressionModel1,10060,217,0.004275276616441144,24073.125
2025-05-24 04:02:47,_44466688810121210888666444_9_RegressionModel1,10896,177,0.0034318069198094932,19522.34375
2025-05-24 05:32:45,_44466688810121210888666444_11_RegressionModel1,13216,221,0.0035157725028778755,21090.328125
2025-05-24 06:41:43,_44466688810121210888666444_13_RegressionModel1,15536,265,0.0031856107401698483,16015.25
2025-05-24 13:57:04,_44_9_2_4_DenseNet1,1214,81,0.01119946645656725,7272.796875
2025-05-24 14:36:32,_44_9_2_6_DenseNet1,1498,81,0.008827983639819792,8775.4375
2025-05-24 15:14:28,_44_11_2_4_DenseNet1,1446,101,0.00853301747124232,8346.3125
2025-05-24 15:38:38,_44_11_2_6_DenseNet1,1778,101,0.007762760922015548,5423.53125
2025-05-24 16:11:22,_44_13_2_4_DenseNet1,1678,121,0.0063751513410617335,7145.296875
2025-05-24 16:46:34,_44_13_2_6_DenseNet1,2058,121,0.005804789131710747,7912.875
2025-05-24 17:36:17,_444_9_2_4_DenseNet1,1802,113,0.008104108575215095,11318.625
2025-05-24 17:56:07,_444_9_2_6_DenseNet1,2272,113,0.008992675767445616,4308.75
2025-05-24 18:30:41,_444_11_2_4_DenseNet1,2146,141,0.007360720523794619,7799.28125
2025-05-24 18:56:48,_444_11_2_6_DenseNet1,2696,141,0.006179453974497587,5764.09375
2025-05-24 19:29:12,_444_13_2_4_DenseNet1,2490,169,0.005792639384789882,6079.859375
2025-05-24 20:00:54,_444_13_2_6_DenseNet1,3120,169,0.005073773719255149,7080.21875
2025-05-24 20:38:52,_4444_9_2_4_DenseNet1,2390,145,0.008306361892451646,8541.265625
